YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2025,4,1,2,19690,N391HA,12478,12173,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N102DU,12478,10721,-4.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N102DU,12478,12451,-2.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N117DU,12478,11298,-13.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N117DX,12478,10397,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N117DX,12478,13204,23.0,23.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2025,4,1,2,19790,N1200K,12478,12892,-3.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N1201P,12478,12892,150.0,150.0,1.0,10.0,0.0,0.0,0.0,150.0,45.0,0.0,0.0
2025,4,1,2,19790,N124DU,12478,13495,30.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
2025,4,1,2,19790,N1603,12478,12173,-2.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N172DN,12478,14771,-6.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N174DN,12478,12892,-1.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0
2025,4,1,2,19790,N177DN,12478,14771,3.0,3.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N178DN,12478,14771,-3.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N178DZ,12478,14869,-8.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N179DN,12478,14771,-7.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N180DN,12478,10397,-8.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N186DN,12478,12892,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0
2025,4,1,2,19790,N193DN,12478,14771,21.0,21.0,1.0,1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N194DN,12478,14679,-5.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N305DU,12478,14635,53.0,53.0,1.0,3.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0
2025,4,1,2,19790,N305DU,12478,14635,71.0,71.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,66.0
2025,4,1,2,19790,N312DN,12478,13204,-6.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,67.0,0.0,0.0
2025,4,1,2,19790,N314DU,12478,13495,-8.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N318DX,12478,13204,,,,,1.0,0.0,,,,,
2025,4,1,2,19790,N324DU,12478,13487,-2.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N339NW,12478,10423,-5.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N345DN,12478,11697,23.0,23.0,1.0,1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N351NB,12478,11298,142.0,142.0,1.0,9.0,0.0,0.0,131.0,0.0,0.0,0.0,0.0
2025,4,1,2,19790,N360NB,12478,11433,-2.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N361NW,12478,10423,-3.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N365DN,12478,11697,-7.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N3767,12478,14027,14.0,14.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N377DA,12478,10397,-1.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N377DA,12478,14683,-7.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N377DN,12478,13204,21.0,21.0,1.0,1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N377NW,12478,10423,-4.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N378DN,12478,11697,-8.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N379DA,12478,14027,-4.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N386DN,12478,11697,136.0,136.0,1.0,9.0,0.0,0.0,0.0,0.0,136.0,0.0,0.0
2025,4,1,2,19790,N389DN,12478,13204,35.0,35.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
2025,4,1,2,19790,N409DX,12478,12892,30.0,30.0,1.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,30.0
2025,4,1,2,19790,N420DX,12478,12892,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0
2025,4,1,2,19790,N504DZ,12478,14869,-1.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N509DT,12478,14747,51.0,51.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0
2025,4,1,2,19790,N520DE,12478,10397,-5.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N524DE,12478,14747,20.0,20.0,1.0,1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N528DE,12478,14679,8.0,8.0,0.0,0.0,0.0,0.0,8.0,0.0,9.0,0.0,0.0
2025,4,1,2,19790,N529DT,12478,12889,-10.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N529DT,12478,14843,-2.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N530DE,12478,14747,-4.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N533DT,12478,14869,-6.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N534DT,12478,12889,5.0,5.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N538DN,12478,14843,-8.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N539DN,12478,12889,-7.0,0.0,0.0,-1.0,0.0,0.0,,,,,
2025,4,1,2,19790,N544US,12478,15024,80.0,80.0,1.0,5.0,0.0,0.0,80.0,0.0,6.0,0.0,0.0
2025,4,1,2,19790,N545DE,12478,14843,11.0,11.0,0.0,0.0,0.0,0.0,,,,,
2025,4,1,2,19790,N577DN,12478,11292,-5.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,27.0,0.0,0.0
