YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,CANCELLATION_CODE,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY
2023,7,1,6,20409,N973JT,12478,14843,507,-8,0,0,-1,0,,0,,,,,
2023,7,1,6,19790,N688DL,12478,10397,600,0,0,0,0,0,,0,,,,,
2023,7,1,6,19805,N115NN,12478,12892,600,-6,0,0,-1,0,,0,,,,,
2023,7,1,6,19805,N304RB,12478,13303,600,-1,0,0,-1,0,,0,,,,,
2023,7,1,6,20409,N236JB,12478,10721,600,-4,0,0,-1,0,,0,,,,,
2023,7,1,6,20409,N192JB,12478,12451,605,-10,0,0,-1,0,,0,,,,,
2023,7,1,6,19790,N6708D,12478,14869,630,-1,0,0,-1,0,,0,,,,,
2023,7,1,6,19805,N113AN,12478,14771,630,-5,0,0,-1,0,,0,,,,,
2023,7,1,6,19805,N910NN,12478,11057,630,-5,0,0,-1,0,,0,0,0,21,0,0
2023,7,1,6,20409,N283JB,12478,10792,630,-4,0,0,-1,0,,0,,,,,
2023,7,1,6,20409,N547JB,12478,14986,630,-4,0,0,-1,0,,0,,,,,
2023,7,1,6,20409,N656JB,12478,13204,630,2,2,0,0,0,,0,2,0,14,0,0
2023,7,1,6,20409,N763JB,12478,11697,630,-5,0,0,-1,0,,0,,,,,
2023,7,1,6,20452,N430YX,12478,14492,635,10,10,0,0,0,,0,,,,,
2023,7,1,6,19805,N335RT,12478,14107,640,-2,0,0,-1,0,,0,,,,,
2023,7,1,6,19805,N837NN,12478,11298,645,-7,0,0,-1,0,,0,,,,,
2023,7,1,6,20452,N428YX,12478,13931,645,18,18,1,1,0,,0,,,,,
2023,7,1,6,20363,N137EV,12478,10792,659,41,41,1,2,0,,0,24,0,0,0,0
