YEAR,MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_CARRIER_AIRLINE_ID,TAIL_NUM,ORIGIN_AIRPORT_ID,DEST_AIRPORT_ID,CRS_DEP_TIME,DEP_DELAY,DEP_DELAY_NEW,DEP_DEL15,DEP_DELAY_GROUP,CANCELLED,DIVERTED,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ORIGIN_AIRPORT_CODE
2023,7,1,6,19393,N299WN,12953,10397,1530,12.0,12.0,0.0,0.0,0.0,0.0,12.0,0.0,7.0,0.0,0.0,LGA
2023,7,1,6,19393,N453WN,12953,13198,1355,73.0,73.0,1.0,4.0,0.0,0.0,10.0,0.0,6.0,0.0,63.0,LGA
2023,7,1,6,19393,N490WN,12953,15016,1845,24.0,24.0,1.0,1.0,0.0,0.0,9.0,0.0,0.0,0.0,15.0,LGA
2023,7,1,6,19393,N7735A,12953,11292,805,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N7737E,12953,10693,600,-1.0,0.0,0.0,-1.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N773SA,12953,10397,730,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8327A,12953,11259,1230,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8510E,12953,15304,1125,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8564Z,12953,13232,1520,3.0,3.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8571Z,12953,13232,1830,28.0,28.0,1.0,1.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8573Z,12953,13232,2035,20.0,20.0,1.0,1.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8584Z,12953,10693,1255,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,LGA
2023,7,1,6,19393,N8626B,12953,11292,1655,-1.0,0.0,0.0,-1.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8656B,12953,10693,1840,161.0,161.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,142.0,LGA
2023,7,1,6,19393,N8660A,12953,15016,645,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,LGA
2023,7,1,6,19393,N8664J,12953,12191,1625,18.0,18.0,1.0,1.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,LGA
