station,valid,tmpf,dwpf,relh,drct,sknt,p01i,alti,mslp,vsby,gust,skyc1,skyc2,skyc3,skyc4,skyl1,skyl2,skyl3,skyl4,wxcodes,ice_accretion_1hr,ice_accretion_3hr,ice_accretion_6hr,peak_wind_gust,peak_wind_drct,peak_wind_time,feel,metar,snowdepth
JFK,2023-07-01 00:51,68.00,66.00,93.32,180.00,7.00,0.00,30.06,1017.90,9.00,,FEW,,,,25000.00,,,,,,,,,,,68.00,KJFK 010451Z 18007KT 9SM FEW250 20/19 A3006 RMK AO2 SLP179 T02000189 402830194 $,
JFK,2023-07-01 01:51,67.00,63.00,87.28,210.00,6.00,0.00,30.06,1017.80,9.00,,FEW,,,,25000.00,,,,,,,,,,,66.90,KJFK 010551Z 21006KT 9SM FEW250 19/17 A3006 RMK AO2 SLP178 T01940172 10222 20194 56005 $,
JFK,2023-07-01 02:51,67.00,61.00,81.33,190.00,4.00,0.00,30.05,1017.60,9.00,,FEW,,,,25000.00,,,,,,,,,,,66.90,KJFK 010651Z 19004KT 9SM FEW250 19/16 A3005 RMK AO2 SLP176 T01940161 $,
JFK,2023-07-01 03:51,66.00,62.00,87.24,210.00,4.00,0.00,30.05,1017.60,9.00,,FEW,,,,25000.00,,,,,,,,,,,66.00,KJFK 010751Z 21004KT 9SM FEW250 19/17 A3005 RMK AO2 SLP176 T01890167 $,
JFK,2023-07-01 04:51,66.00,63.00,90.05,220.00,3.00,0.00,30.05,1017.70,8.00,,FEW,,,,25000.00,,,,,,,,,,,66.00,KJFK 010851Z 22003KT 8SM FEW250 19/17 A3005 RMK AO2 SLP177 T01890172 55001 $,
JFK,2023-07-01 05:51,66.00,63.00,90.05,230.00,4.00,0.00,30.06,1018.00,6.00,,FEW,,,,25000.00,,,,BR,,,,,,,66.00,KJFK 010951Z 23004KT 6SM BR FEW250 19/17 A3006 RMK AO2 SLP180 T01890172 $,
JFK,2023-07-01 06:51,69.00,65.00,86.48,180.00,3.00,0.00,30.07,1018.10,7.00,,SCT,,,,25000.00,,,,,,,,,,,69.10,KJFK 011051Z 18003KT 7SM SCT250 21/18 A3007 RMK AO2 SLP181 T02060183 $,
JFK,2023-07-01 07:51,72.00,64.00,75.92,160.00,5.00,0.00,30.07,1018.30,9.00,,SCT,,,,25000.00,,,,,,,,,,,72.00,KJFK 011151Z 16005KT 9SM SCT250 22/18 A3007 RMK AO2 SLP183 T02220178 10222 20183 51006 $,
JFK,2023-07-01 08:51,74.00,65.00,73.49,210.00,6.00,0.00,30.09,1018.80,10.00,,SCT,,,,25000.00,,,,,,,,,,,73.90,KJFK 011251Z 21006KT 10SM SCT250 23/18 A3009 RMK AO2 SLP188 T02330183 $,
JFK,2023-07-01 09:51,75.00,64.00,68.64,200.00,7.00,0.00,30.08,1018.60,10.00,,BKN,BKN,,,7000.00,25000.00,,,,,,,,,,75.00,KJFK 011351Z 20007KT 10SM BKN070 BKN250 24/18 A3008 RMK AO2 SLP186 T02390178 $,
